AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;1;2015-01-23 12:37:26.000;3;Sudeste;SP;3;76;Outros Contratos;30;Problemas com Cobrança;M;entre 31 a 40 anos;1;CAIXA ECONÔMICA FEDERAL  CEF;*CEF MATRIZ
2015;1;2;2015-02-02 14:35:25.000;4;Sul;RS;6;78;Cartões de Descontos;28;Problemas com Cobrança;F;entre 31 a 40 anos;1;RIO GRANDE ENERGIA;RGE
2015;1;1;2015-01-22 17:19:06.000;4;Sul;SC;6;54;Cartão de Crédito;27;Problemas com Contrato;M;entre 51 a 60 anos;1;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL
2015;1;2;2015-02-20 17:01:54.000;4;Sul;SC;6;279;Internet (Serviços);255;Problemas com SAC;F;até 20 anos;1;OI S.A.;OI
2015;1;3;2015-03-12 14:35:34.000;4;Sul;SC;3;72;Leasing;34;Problemas com Contrato;M;entre 61 a 70 anos;1;BANCO FIAT S/A - DEP. JURÍDICO;BANCO FIAT
2015;1;3;2015-03-09 09:23:11.000;1;Norte;TO;6;187;Telefonia Celular;124;Problemas com Contrato;F;entre 31 a 40 anos;1;TIM CELULAR S.A.;TIM MATRIZ
2015;1;2;2015-02-25 07:47:03.000;1;Norte;RO;2;249;Assistência Técnica;193;Problemas com Garantia de Produtos;F;Nao Informada;1;MOVEIS GAZIN;
2015;1;1;2015-01-06 10:19:53.000;5;Centro-oeste;GO;3;186;Telefonia Fixa;134;Problemas com Cobrança;F;entre 51 a 60 anos;1;OI S.A. (OI FIXO);OI FIXO (BRASIL TELECOM / CIP ELETRÔNICA)
2015;1;2;2015-02-05 13:12:51.000;3;Sudeste;SP;3;187;Telefonia Celular;143;Problemas com Contrato;M;Nao Informada;1;OI MÓVEL S/A;OI CELULAR/OI TV
2015;1;3;2015-03-23 14:20:54.000;3;Sudeste;ES;10;76;Outros Contratos;32;Problemas com Cobrança;F;entre 51 a 60 anos;1;BANCO PSA FINANCE BRASIL S/A.;BANCO CITROEN / BANCO PEUGEOT
2015;1;2;2015-02-09 10:30:20.000;3;Sudeste;MG;3;233;Escola ( Pré, 1º, 2º Graus e Superior );194;Problemas com Cobrança;M;Nao Informada;1;ANHANGUERA EDUCACIONAL;FACULDADE ANHANGUERA
